year,CTY_CODE,CTYNAME,I_1,IYR,E_1,EYR
2010,1220,Canada,21653.83633,277636.733,17238.67323,249256.4593
2010,2010,Mexico,16089.40131,229985.623,11522.27424,163664.6455
2010,4120,United Kingdom,3198.563623,49805.39603,3823.179784,48410.31105
2010,4210,Netherlands,1397.73115,19055.45771,2484.169193,34740.30213
2010,4279,France,2555.731924,38355.49312,2011.08256,26969.95194
2010,4280,Germany,5007.718306,82450.41186,3826.700173,48155.26322
2010,5330,India,2080.532755,29532.93901,1296.851247,19248.88697
2010,5600,Indonesia,1166.606844,16478.33956,507.087053,6947.85291
2010,5700,China,25215.91901,364952.6336,6898.358856,91911.08094
2010,5880,Japan,8340.840554,120552.1452,4840.292937,60471.85213
